,year,Germany co2 emission,Germany gdp
105,1954.0,659809456.0,7784.0
106,1955.0,723585040.0,8728.0
107,1956.0,766281632.0,9332.0
108,1957.0,777999104.0,9805.0
109,1958.0,756473104.0,10150.0
110,1959.0,755905184.0,10875.0
111,1960.0,814067520.0,11587.0
112,1961.0,834970640.0,11776.0
113,1962.0,883306128.0,12144.0
114,1963.0,945638096.0,12365.0
115,1964.0,969073040.0,13196.0
116,1965.0,960264784.0,13666.0
117,1966.0,951588432.0,14089.0
118,1967.0,936382832.0,14055.0
119,1968.0,984956480.0,14882.0
120,1969.0,1052176224.0,15853.0
121,1970.0,1026209456.0,16581.0
122,1971.0,1037655792.0,16999.0
123,1972.0,1042155184.0,17719.0
124,1973.0,1086617824.0,18498.0
125,1974.0,1063728816.0,18655.0
126,1975.0,1003602576.0,18839.0
127,1976.0,1092271376.0,19929.0
128,1977.0,1054202416.0,20553.0
129,1978.0,1081015568.0,21156.0
130,1979.0,1120051824.0,22021.0
131,1980.0,1102314400.0,22053.0
132,1981.0,1050831536.0,21443.0
133,1982.0,1018119344.0,20991.0
134,1983.0,1014206192.0,21102.0
135,1984.0,1035915392.0,21247.0
136,1985.0,1046746176.0,21377.0
137,1986.0,1050358880.0,22858.0
138,1987.0,1035431744.0,23740.0
139,1988.0,1032266048.0,24887.0
140,1989.0,1016349632.0,25724.0
141,1990.0,1012901808.0,25054.0
142,1991.0,1014972286.0,26568.0
143,1992.0,966705828.7,27098.0
144,1993.0,956994179.8,27199.0
145,1994.0,940407989.4,28297.0
146,1995.0,940086746.0,29211.0
147,1996.0,960174299.5,29415.0
148,1997.0,932347358.9,30586.0
149,1998.0,924404529.9,31964.0
150,1999.0,896882683.4,33145.0
151,2000.0,900960091.2,33975.0
152,2001.0,917476828.5,34560.0
153,2002.0,900955099.1,34674.0
154,2003.0,901969864.6,34976.0
155,2004.0,887996509.2,35908.0
156,2005.0,867223505.9,37305.0
157,2006.0,878747131.4,38784.0
158,2007.0,852096162.2,41047.0
159,2008.0,854420962.4,41333.0
160,2009.0,789963521.6,39480.0
161,2010.0,833684918.0,41215.0
162,2011.0,810802325.3,43189.0
163,2012.0,815197408.6,43198.0
164,2013.0,832642995.5,44560.0
165,2014.0,793635843.4,46038.0
166,2015.0,797078165.2,46426.0
167,2016.0,801753007.7,46841.0
