,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
246,1996,28.738025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1997,30.6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1998,28.500498999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1999,28.711909000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2000,30.068131,30.068131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2001,30.025266,30.266407,30.025266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2002,31.271594,30.411070000000002,30.149364000000002,31.271594,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2003,32.735702,30.505737,30.226609999999997,31.513440000000003,32.735702,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2004,33.862726,30.553833,30.260182,31.688394,33.541554,33.862726,,,,,,,,,,,,,,,,,,,,,,,,,
255,2005,34.412602,30.558602,30.253090999999998,31.801322999999996,34.19562,34.845735999999995,34.412602,,,,,,,,,,,,,,,,,,,,,,,,
256,2006,35.569639,30.523111,30.208187,31.856818,34.710567,35.638206,35.371462,35.569639,,,,,,,,,,,,,,,,,,,,,,,
257,2007,35.809665,30.450266,30.128171000000002,31.859202000000003,35.098199,36.257128,36.13429,36.63454,35.809665,,,,,,,,,,,,,,,,,,,,,,
258,2008,36.752056,30.342813,30.015598999999998,31.812551000000003,35.369508,36.71825,36.719056,37.470451000000004,36.665921000000004,36.752056,,,,,,,,,,,,,,,,,,,,,
259,2009,37.043836,30.203348,29.872889,31.7207,35.534726,37.036159999999995,37.142376,38.099576,37.319579,37.466663,37.043836,,,,,,,,,,,,,,,,,,,,
260,2010,38.224529,30.034326,29.702328,31.587262,35.603375,37.224363000000004,37.419615,38.542359999999995,37.790341,37.987376,37.636986,38.224529,,,,,,,,,,,,,,,,,,,
261,2011,39.188828,29.838067,29.506078999999996,31.415634000000004,35.584307,37.295353000000006,37.564968,38.817609000000004,38.096351,38.333593,38.047433000000005,38.848259999999996,39.188828,,,,,,,,,,,,,,,,,,
262,2012,40.17197,29.616758,29.286185999999997,31.209012,35.485749,37.260684000000005,37.591538,38.942613,38.254312,38.52315,38.293785,39.265124,39.835046000000006,40.17197,,,,,,,,,,,,,,,,,
263,2013,40.523658000000005,29.372469,29.044581,30.9704,35.315342,37.131029999999996,37.511419000000004,38.933254999999996,38.279589,38.572439,38.39314,39.497374,40.251191,40.939054999999996,40.523658000000005,,,,,,,,,,,,,,,,
264,2014,41.303965999999996,29.107148,28.783087,30.702619,35.080179,36.91625,37.335757,38.804116,38.186302000000005,38.496509,38.361191999999996,39.565354,40.463266,41.430496000000005,41.245389,41.303965999999996,,,,,,,,,,,,,,,
