,Year,Historical,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
333,2083,,1.291635,1.274249,0.956794,0.519454,0.366809,0.305756,0.213565,0.197012,0.154709,0.127444,0.079856,0.048844,0.025984,0.015875,0.00792,0.004469,0.002765,0.001213,0.000294,6.20E-05,9.00E-06,1.00E-06,0,0,0,0,0
334,2084,,1.22791,1.210922,0.903956,0.484873,0.34012,0.282488,0.195979,0.180472,0.14107,0.115761,0.071898,0.04357,0.022905,0.013863,0.006826,0.00381,0.002336,0.001009,0.000238,4.90E-05,7.00E-06,0,0,0,0,0,0
335,2085,,1.167209,1.150623,0.853942,0.452538,0.315332,0.260957,0.179817,0.165298,0.128615,0.105133,0.064724,0.03886,0.020188,0.012104,0.005883,0.003248,0.001972,0.000839,0.000193,3.80E-05,5.00E-06,0,0,0,0,0,0
336,2086,,1.109397,1.093214,0.806608,0.42231,0.292314,0.241035,0.164965,0.15138,0.117244,0.095468,0.058257,0.034653,0.01779,0.010566,0.005069,0.002768,0.001665,0.000697,0.000156,3.00E-05,4.00E-06,0,0,0,0,0,0
337,2087,,1.054344,1.038567,0.761816,0.394054,0.270943,0.222607,0.15132,0.138614,0.106863,0.086679,0.052428,0.030897,0.015675,0.009222,0.004367,0.002359,0.001406,0.000579,0.000126,2.40E-05,3.00E-06,0,0,0,0,0,0
338,2088,,1.001926,0.986555,0.719437,0.367647,0.251105,0.205562,0.138786,0.126909,0.097389,0.078689,0.047176,0.027545,0.013809,0.008048,0.003761,0.00201,0.001187,0.000481,0.000102,1.90E-05,2.00E-06,0,0,0,0,0,0
339,2089,,0.952024,0.937057,0.679347,0.34297,0.232691,0.1898,0.127275,0.116178,0.088743,0.071426,0.042444,0.024552,0.012163,0.007022,0.003239,0.001712,0.001001,0.0004,8.30E-05,1.50E-05,2.00E-06,0,0,0,0,0,0
340,2090,,0.904523,0.88996,0.641426,0.319915,0.215604,0.175225,0.116704,0.106341,0.080855,0.064825,0.038182,0.021882,0.010712,0.006127,0.002789,0.001458,0.000845,0.000332,6.70E-05,1.10E-05,1.00E-06,0,0,0,0,0,0
341,2091,,0.859313,0.845151,0.605563,0.298377,0.199748,0.161751,0.106998,0.097325,0.073658,0.058826,0.034343,0.019499,0.009433,0.005344,0.002401,0.001242,0.000713,0.000276,5.40E-05,9.00E-06,1.00E-06,0,0,0,0,0,0
342,2092,,0.81629,0.802526,0.571651,0.27826,0.185039,0.149297,0.098088,0.089063,0.067094,0.053376,0.030887,0.017374,0.008305,0.004661,0.002067,0.001057,0.000601,0.000229,4.40E-05,7.00E-06,1.00E-06,0,0,0,0,0,0
343,2093,,0.775353,0.761983,0.539586,0.259473,0.171394,0.137786,0.08991,0.081492,0.061108,0.048425,0.027774,0.015478,0.007311,0.004065,0.001779,0.0009,0.000507,0.00019,3.50E-05,6.00E-06,1.00E-06,0,0,0,0,0,0
344,2094,,0.736406,0.723425,0.509274,0.241929,0.158739,0.127149,0.082405,0.074557,0.055649,0.043928,0.024973,0.013787,0.006436,0.003544,0.001531,0.000766,0.000427,0.000158,2.90E-05,4.00E-06,0,0,0,0,0,0,0
345,2095,,0.699355,0.68676,0.48062,0.22555,0.147002,0.117321,0.075517,0.068205,0.050672,0.039844,0.022451,0.01228,0.005664,0.00309,0.001318,0.000652,0.00036,0.000131,2.30E-05,3.00E-06,0,0,0,0,0,0,0
346,2096,,0.664114,0.651898,0.453539,0.210258,0.13612,0.108241,0.069198,0.062387,0.046136,0.036135,0.020181,0.010936,0.004984,0.002693,0.001134,0.000555,0.000304,0.000109,1.90E-05,3.00E-06,0,0,0,0,0,0,0
347,2097,,0.630596,0.618754,0.427946,0.195985,0.126031,0.099853,0.063401,0.057059,0.042,0.032769,0.018139,0.009738,0.004386,0.002348,0.000975,0.000472,0.000256,9.00E-05,1.50E-05,2.00E-06,0,0,0,0,0,0,0
348,2098,,0.598722,0.587249,0.403763,0.182664,0.116678,0.092107,0.058084,0.052181,0.038232,0.029712,0.016302,0.00867,0.003858,0.002046,0.000839,0.000402,0.000216,7.50E-05,1.20E-05,2.00E-06,0,0,0,0,0,0,0
349,2099,,0.568415,0.557303,0.380914,0.170232,0.10801,0.084953,0.053207,0.047714,0.034798,0.026938,0.014649,0.007718,0.003394,0.001783,0.000721,0.000342,0.000182,6.20E-05,1.00E-05,1.00E-06,0,0,0,0,0,0,0
350,2100,,0.5396,0.528843,0.359329,0.158632,0.099975,0.078347,0.048735,0.043626,0.031669,0.02442,0.013162,0.00687,0.002985,0.001553,0.00062,0.000291,0.000153,5.10E-05,8.00E-06,1.00E-06,0,0,0,0,0,0,0
